"ORGÃO SUPERIOR DESTINATÁRIO";"ÓRGÃO DESTINATÁRIO";"FORNECEDOR";"CNPJ DO FORNECEDOR";"MUNICÍPIO DO FORNECEDOR";"CHAVE DA NF-E";"VALOR DA NOTA (R$)";"DATA DA EMISSÃO";"NÚMERO";"SÉRIE";
"Ministério da Defesa";"Comando do Exército";"MULTIDRONES - PRODUCOES AEREAS, COMERCIO E REPRESENTACAO COM";"18.449.119/0001-01";"BRASILIA";"53221018449119000101550010000017391213964328";"919,00";"26/10/2022";"1739";"1";
"Ministério da Educação";"Universidade Tecnológica Federal do Paraná";"LUCAS AUGUSTO PERUFFO 04319329996";"26.454.696/0001-10";"FRANCISCO BELTRAO";"41221178393592000146558950030049661545143176";"949,00";"29/11/2022";"3004966";"895";
"Ministério da Educação";"Universidade Federal do Sul da Bahia";"DRONENG ENGENHARIA LTDA - ME";"21.026.074/0001-77";"PRESIDENTE PRUDENTE";"35220621026074000177550010000034211142217555";"997,00";"17/06/2022";"3421";"1";
"Ministério da Educação";"Instituto Federal do Ceará";"MANHUACU CONSTRUCAO, TERCEIRIZACAO E COMERCIALIZACAO DE MATE";"30.814.518/0001-20";"BELO HORIZONTE";"31240330814518000120550030000015861000036760";"999,90";"15/03/2024";"1586";"3";
"Ministério da Educação";"Universidade Tecnológica Federal do Paraná";"LUCAS AUGUSTO PERUFFO 04319329996";"26.454.696/0001-10";"FRANCISCO BELTRAO";"41221178393592000146558950028889791537131860";"1.000,00";"01/11/2022";"2888979";"895";
"Sem informação";"Sem informação";"CP DE MELO COMERCIAL";"51.069.521/0001-36";"GUARAREMA";"35240751069521000136550010000002681933024554";"1.000,00";"08/07/2024";"268";"1";
"Ministério da Defesa";"Fundo do Exército";"44737673 DAVSON LUIZ AZEVEDO MARTINS";"44.737.673/0001-02";"BOM JESUS DO ITABAPOANA";"33241044737673000102550020000000621598498476";"1.000,00";"03/10/2024";"62";"2";
"Ministério da Defesa";"Comando da Aeronáutica";"SAUDE MOGI MEDICAMENTOS LTDA";"38.457.380/0001-60";"MOGI MIRIM";"35230338457380000160550010000102461091202084";"1.014,07";"02/03/2023";"10246";"1";
"Sem informação";"Sem informação";"FUNDACAO UNIVERSIDADE DE BRASILIA";"00.038.174/0014-68";"BRASILIA";"53240800038174001468550010000005001001656599";"1.026,00";"07/08/2024";"500";"1";
"Sem informação";"Sem informação";"32.732.592 RENAN ALLAN SANCHEZ ZELASCHI";"32.732.592/0001-22";"SAO PAULO";"42221182951310000156558900064417361064511464";"1.066,00";"21/11/2022";"6441736";"890";
"Ministério da Defesa";"Comando do Exército";"ALC MORAES COMERCIAL LTDA";"46.339.373/0001-92";"MOGI MIRIM";"35240446339373000192550020000004971102030407";"1.073,80";"23/04/2024";"497";"2";
"Ministério da Defesa";"Comando da Aeronáutica";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35220518355397000108550020001374791187568087";"1.078,35";"24/05/2022";"137479";"2";
"Ministério da Defesa";"Comando da Aeronáutica";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230318355397000108550020001948831209148449";"1.078,35";"24/03/2023";"194883";"2";
"Ministério da Educação";"Instituto Federal Farroupilha";"SP DRONES E COMERCIO SOCIEDADE UNIPESSOAL LTDA";"44.660.577/0001-03";"SAO PAULO";"35230944660577000103550010000007161214737325";"1.080,00";"05/09/2023";"716";"1";
"Ministério da Educação";"Instituto Federal Farroupilha";"SP DRONES E COMERCIO SOCIEDADE UNIPESSOAL LTDA";"44.660.577/0001-03";"SAO PAULO";"35230944660577000103550010000007171214780406";"1.080,00";"05/09/2023";"717";"1";
"Ministério da Educação";"Instituto Federal Farroupilha";"SP DRONES E COMERCIO SOCIEDADE UNIPESSOAL LTDA";"44.660.577/0001-03";"SAO PAULO";"35230944660577000103550010000007121995297839";"1.080,00";"01/09/2023";"712";"1";
"Ministério da Fazenda";"Ministério da Fazenda - Unidades com vínculo direto";"BAROLIVEIRA COMERCIO E DISTRIBUICAO LTDA";"45.902.578/0001-71";"NEPOMUCENO";"31240945902578000171550010000002271234676481";"1.080,00";"17/09/2024";"227";"1";
"Ministério da Educação";"Universidade Federal Rural de Pernambuco";"M2Z SOLUÇÕES INTEGRADAS LTDA";"30.870.355/0001-00";"RIO DE JANEIRO";"33230530870355000100550020000004321060000006";"1.139,04";"30/05/2023";"432";"2";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"ZERO65 DRONES";"42.696.387/0001-02";"CUIABA";"51221142696387000102550010000000471729230779";"1.141,16";"14/11/2022";"47";"1";
"Ministério da Educação";"Universidade Federal do Rio Grande do Sul";"DRONE AIR COMERCIO E SERVICOS TECNOLOGICOS EIRELI";"39.935.802/0001-29";"JOAO PESSOA";"25240339935802000129550010000005871455357351";"1.150,00";"04/03/2024";"587";"1";
"Ministério da Justiça e Segurança Pública";"Ministério da Justiça e Segurança Pública - Unidades com vínculo direto";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35231018355397000108550020002403191163307612";"1.181,78";"31/10/2023";"240319";"2";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230718355397000108550020002221031760871996";"1.184,45";"31/07/2023";"222103";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Chico Mendes de Conservação da Biodiversidade";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35241118355397000108550020003361581125490315";"1.191,00";"25/11/2024";"336158";"2";
"Ministério da Defesa";"Comando do Exército";"INACIO APRIGIO DE OLIVEIRA";"36.239.722/0001-40";"MARACANAU";"23241036239722000140550010000003201000103191";"1.199,40";"03/10/2024";"320";"1";
"Ministério da Educação";"Universidade Federal do Espírito Santo";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240718355397000108550020003041131678905982";"1.203,60";"26/07/2024";"304113";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Chico Mendes de Conservação da Biodiversidade";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240918355397000108550020003209291316813647";"1.210,41";"30/09/2024";"320929";"2";
"Ministério de Portos e Aeroportos";"Agência Nacional de Transportes Aquaviários";"MULTIDRONES - PRODUCOES AEREAS, COMERCIO E REPRESENTACAO COM";"18.449.119/0001-01";"BRASILIA";"53211018449119000101550010000014691011984167";"1.238,00";"28/10/2021";"1469";"1";
"Sem informação";"Sem informação";"BIG FIELD HOBBY AEROMODELISMO LTDA - EPP";"04.167.713/0001-03";"RIO DE JANEIRO";"33230804167713000103550010000139341000095533";"1.290,00";"31/08/2023";"13934";"1";
"Sem informação";"Sem informação";"BIG FIELD HOBBY AEROMODELISMO LTDA - EPP";"04.167.713/0001-03";"RIO DE JANEIRO";"33230804167713000103550010000138421000094606";"1.290,00";"08/08/2023";"13842";"1";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Chico Mendes de Conservação da Biodiversidade";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240918355397000108550020003209301145289532";"1.300,00";"30/09/2024";"320930";"2";
"Ministério da Educação";"Instituto Federal Fluminense";"50.849.171 MARCOS HENRIQUE FERREIRA POUZO";"50.849.171/0001-68";"ARARAQUARA";"35241050849171000168550000000000421102519971";"1.356,00";"01/10/2024";"42";"0";
"Ministério da Educação";"Universidade Federal do Paraná";"LECO INSTRUMENTOS LTDA";"42.523.365/0001-40";"RIO DE JANEIRO";"33220842523365000140550010000505461256908509";"1.357,46";"17/08/2022";"50546";"1";
"Ministério da Defesa";"Comando do Exército";"MAIORCA COMERCIO DE EQUIPAMENTOS ELETRONICOS EIRELI";"34.802.325/0001-00";"SAO PAULO";"35220334802325000100550010000006481908000403";"1.380,54";"18/03/2022";"648";"1";
"Ministério da Defesa";"Comando do Exército";"MAIORCA COMERCIO DE EQUIPAMENTOS ELETRONICOS EIRELI";"34.802.325/0001-00";"SAO PAULO";"35220334802325000100550010000006761908000408";"1.380,54";"29/03/2022";"676";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230718355397000108550020002219611124608140";"1.400,00";"31/07/2023";"221961";"2";
"Sem informação";"Sem informação";"EMMENSA VAREJISTA DE SUPRIMENTOS E ALIMENTOS LTDA.";"13.573.964/0001-70";"RIO DE JANEIRO";"33221213573964000170550010000056181932453608";"1.426,92";"08/12/2022";"5618";"1";
"Ministério da Defesa";"Comando do Exército";"CONDOR S/A INDUSTRIA QUIMICA";"30.092.431/0001-96";"NOVA IGUACU";"33221130092431000196550010000303951979734321";"1.447,75";"04/11/2022";"30395";"1";
"Ministério da Defesa";"Comando do Exército";"CONDOR S/A INDUSTRIA QUIMICA";"30.092.431/0001-96";"NOVA IGUACU";"33221130092431000196550010000303991715428454";"1.447,75";"04/11/2022";"30399";"1";
"Ministério da Defesa";"Comando do Exército";"SLLIMA  COMERCIO E SERVICOS OFFSHORE LTDA";"48.859.449/0001-36";"SAO GONCALO";"33241048859449000136550010000007111011175100";"1.458,00";"20/10/2024";"711";"1";
"Sem informação";"Sem informação";"LUZOR GROUP LTDA";"52.134.461/0001-50";"SAO PAULO";"35231152134461000150550010000000491648157645";"1.461,00";"28/11/2023";"49";"1";
"Ministério da Defesa";"Comando do Exército";"MAIORCA COMERCIO DE EQUIPAMENTOS ELETRONICOS EIRELI";"34.802.325/0001-00";"SAO PAULO";"35220334802325000100550010000006231908000404";"1.464,00";"18/03/2022";"623";"1";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Chico Mendes de Conservação da Biodiversidade";"GOHOBBY FUTURE TECHNOLOGY LTDA";"13.373.898/0001-95";"BARUERI";"35240713373898000195550010000132611173112836";"1.500,00";"15/07/2024";"13261";"1";
"Ministério da Educação";"Universidade Federal do Espírito Santo";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240718355397000108550020003036741385861238";"1.500,00";"25/07/2024";"303674";"2";
"Ministério da Educação";"Universidade Federal do Espírito Santo";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240718355397000108550020003041141112123364";"1.500,00";"26/07/2024";"304114";"2";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"NW DRONES COMERCIO E MANUTENCAO DE DRONES LTDA";"32.907.435/0001-00";"CURITIBA";"41240732907435000100550020000010681114244850";"1.557,80";"30/07/2024";"1068";"2";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"TMCAR AUTO CENTER LTDA";"51.092.287/0001-68";"PORTO ALEGRE";"43231151092287000168550010000000201146016366";"1.622,00";"27/11/2023";"20";"1";
"Sem informação";"Sem informação";"TBF PARTICIPAÇÕES E COMÉRCIO LTDA";"26.960.884/0001-10";"RIO DE JANEIRO";"33241026960884000110550010000043631046600008";"1.635,00";"15/10/2024";"4363";"1";
"Ministério da Educação";"Universidade Federal do Espírito Santo";"J.S.A COMERCIO LTDA";"54.361.487/0001-67";"CAMPINAS";"35240954361487000167550010000002531979600679";"1.645,26";"25/09/2024";"253";"1";
"Ministério da Educação";"Fundação Universidade Federal do Pampa";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35231118355397000108550020002429721153139990";"1.687,00";"14/11/2023";"242972";"2";
"Ministério dos Transportes";"Departamento Nacional de Infraestrutura de Transportes";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35221218355397000108550020001768541125853262";"1.690,57";"28/12/2022";"176854";"2";
"Ministério da Defesa";"Comando do Exército";"M2Z SOLUÇÕES INTEGRADAS LTDA";"30.870.355/0001-00";"RIO DE JANEIRO";"33211130870355000100550020000001321030000090";"1.711,57";"18/11/2021";"132";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Chico Mendes de Conservação da Biodiversidade";"DRA COMERCIOS LTDA";"44.242.047/0001-37";"SAO GONCALO";"33230744242047000137550000000003001609083000";"1.761,86";"09/07/2023";"300";"0";
"Sem informação";"Sem informação";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35241218355397000108550020003424901771592455";"1.800,00";"18/12/2024";"342490";"2";
"Ministério da Defesa";"Comando do Exército";"ALC MORAES COMERCIAL LTDA";"46.339.373/0001-92";"MOGI MIRIM";"35240546339373000192550020000006141102030409";"1.825,80";"22/05/2024";"614";"2";
"Ministério da Defesa";"Comando do Exército";"INACIO APRIGIO DE OLIVEIRA";"36.239.722/0001-40";"MARACANAU";"23240836239722000140550010000002451000102446";"1.836,00";"07/08/2024";"245";"1";
"Ministério da Defesa";"Comando da Marinha";"COMERCIAL PAPELARIA CAPIXABA LTDA";"36.147.445/0001-46";"RIO DE JANEIRO";"33230936147445000146550010000047801021020600";"1.860,00";"26/09/2023";"4780";"1";
"Ministério da Defesa";"Comando do Exército";"M2Z SOLUÇÕES INTEGRADAS LTDA";"30.870.355/0001-00";"RIO DE JANEIRO";"33231130870355000100550020000005631046000002";"1.927,10";"28/11/2023";"563";"2";
"Ministério da Educação";"Universidade Federal do Paraná";"M2Z SOLUÇÕES INTEGRADAS LTDA";"30.870.355/0001-00";"RIO DE JANEIRO";"33240730870355000100550020000006611001007204";"1.999,76";"01/07/2024";"661";"2";
"Ministério dos Transportes";"Departamento Nacional de Infraestrutura de Transportes";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230218355397000108550020001844411657465074";"2.000,00";"02/02/2023";"184441";"2";
"Ministério da Justiça e Segurança Pública";"Ministério da Justiça e Segurança Pública - Unidades com vínculo direto";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35231018355397000108550020002401761655734374";"2.000,00";"31/10/2023";"240176";"2";
"Ministério da Educação";"Fundação Universidade Federal do Pampa";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35231118355397000108550020002427321475553542";"2.000,00";"14/11/2023";"242732";"2";
"Ministério da Defesa";"Comando do Exército";"ANAX BRASIL COMERCIO E SERVICOS LTDA";"28.849.946/0001-46";"VITORIA";"53221028849946000146550010000012841951130000";"2.003,64";"12/10/2022";"1284";"1";
"Sem informação";"Sem informação";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35241018355397000108550020003261771199516847";"2.042,54";"17/10/2024";"326177";"2";
"Ministério da Defesa";"Comando do Exército";"SIGNORELLI CARVALHO ENGENHARIA LTDA";"40.616.324/0001-73";"BRASILIA";"53220640616324000173550010000001371333777323";"2.091,60";"22/06/2022";"137";"1";
"Ministério da Defesa";"Comando do Exército";"ALEXANDRE FREIRE";"39.334.587/0001-00";"SAO PAULO";"35211239334587000100550010000001371901300760";"2.163,33";"06/12/2021";"137";"1";
"Ministério da Defesa";"Comando do Exército";"ALC MORAES COMERCIAL LTDA";"46.339.373/0001-92";"MOGI MIRIM";"35250146339373000192550020000016591102030402";"2.168,67";"08/01/2025";"1659";"2";
"Sem informação";"Sem informação";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240818355397000108550020003106261215137420";"2.223,40";"22/08/2024";"310626";"2";
"Ministério da Defesa";"Comando do Exército";"ANAX BRASIL COMERCIO E SERVICOS LTDA";"28.849.946/0001-46";"VITORIA";"53221028849946000146550010000012771467549869";"2.231,02";"03/10/2022";"1277";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"J&R DRONES";"30.897.529/0001-10";"PORTO ALEGRE";"43221130897529000110550010000002291681276435";"2.240,00";"16/11/2022";"229";"1";
"Ministério da Fazenda";"Ministério da Fazenda - Unidades com vínculo direto";"BAZAR DE TUDO COMERCIAL LTDA ME";"27.958.746/0001-69";"CURITIBA";"41240627958746000169550000000115341026105582";"2.272,72";"14/06/2024";"11534";"0";
"Ministério da Educação";"Universidade Federal do Triângulo Mineiro";"DRONE AIR COMERCIO E SERVICOS TECNOLOGICOS EIRELI";"39.935.802/0001-29";"JOAO PESSOA";"25220939935802000129550010000002571274120875";"2.343,94";"09/09/2022";"257";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"AMÉRICA DRONES & TECNOLOGIA LTDA";"30.699.091/0001-66";"CURITIBA";"41211130699091000166550050000002881666679938";"2.350,00";"11/11/2021";"288";"5";
"Ministério da Educação";"Universidade Federal dos Vales do Jequitinhonha e Mucuri";"MAX QUALITY COMERCIO LTDA";"42.810.782/0001-74";"BELO HORIZONTE";"31250242810782000174550010000021811162518489";"2.414,26";"18/02/2025";"2181";"1";
"Ministério da Defesa";"Comando do Exército";"MAIORCA COMERCIO DE EQUIPAMENTOS ELETRONICOS EIRELI";"34.802.325/0001-00";"SAO PAULO";"35220334802325000100550010000006221908000407";"2.440,00";"18/03/2022";"622";"1";
"Ministério da Ciência, Tecnologia e Inovação";"Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35211118355397000108550020000894371771592457";"2.463,34";"03/11/2021";"89437";"2";
"Ministério das Comunicações";"Agêncial Nacional de Telecomunicações";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35231118355397000108550020002460411186496042";"2.535,56";"29/11/2023";"246041";"2";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"J&R DRONES SAO PAULO";"30.897.529/0002-00";"BARUERI";"35240930897529000200550010000017071613303467";"2.541,30";"05/09/2024";"1707";"1";
"Ministério da Defesa";"Comando do Exército";"COMPMINAS COMERCIO DE INFORMATICA LTDA";"36.289.988/0001-06";"BELO HORIZONTE";"31240136289988000106550010000004031217990525";"2.560,00";"22/01/2024";"403";"1";
"Ministério da Defesa";"Comando do Exército";"COMPMINAS COMERCIO DE INFORMATICA LTDA";"36.289.988/0001-06";"BELO HORIZONTE";"31240136289988000106550010000004031217990525";"2.560,00";"22/01/2024";"403";"1";
"Ministério da Educação";"Universidade Federal do Rio Grande do Sul";"RSTECH SOLUCOES EM GEOTECNOLOGIAS LTDA ME";"42.975.406/0001-30";"ELDORADO DO SUL";"43221242975406000130550010000001031000001724";"2.590,00";"13/12/2022";"103";"1";
"Ministério da Educação";"Universidade Federal do Rio Grande do Sul";"RSTECH SOLUCOES EM GEOTECNOLOGIAS LTDA ME";"42.975.406/0001-30";"ELDORADO DO SUL";"43221242975406000130550010000001041000001721";"2.590,00";"13/12/2022";"104";"1";
"Ministério da Educação";"Universidade Federal do Rio Grande do Sul";"RSTECH SOLUCOES EM GEOTECNOLOGIAS LTDA ME";"42.975.406/0001-30";"ELDORADO DO SUL";"43221242975406000130550010000001051000001729";"2.590,00";"13/12/2022";"105";"1";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Chico Mendes de Conservação da Biodiversidade";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240918355397000108550020003206801148868628";"2.600,00";"27/09/2024";"320680";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Chico Mendes de Conservação da Biodiversidade";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240918355397000108550020003206801148868628";"2.600,00";"27/09/2024";"320680";"2";
"Sem informação";"Sem informação";"FGP SOLUTIONS LTDA";"29.003.455/0001-42";"SAO JOSE";"42230929003455000142550010000013681709900027";"2.640,24";"18/09/2023";"1368";"1";
"Ministério da Educação";"Universidade Federal de Viçosa";"FUNDACAO ARTHUR BERNARDES - ADM";"20.320.503/0001-51";"VICOSA";"31240620320503000151550020000119131311652380";"2.653,80";"26/06/2024";"11913";"2";
"Ministério da Defesa";"Comando do Exército";"M2Z SOLUÇÕES INTEGRADAS LTDA";"30.870.355/0001-00";"RIO DE JANEIRO";"33241030870355000100550020000007211436180802";"2.687,92";"23/10/2024";"721";"2";
"Ministério da Defesa";"Comando do Exército";"FELIPE MARCEL VOLPATO";"47.018.307/0001-83";"PORTO UNIAO";"42221047018307000183550020000000161212830310";"2.714,43";"21/10/2022";"16";"2";
"Ministério da Defesa";"Comando da Aeronáutica";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230718355397000108550020002196591199879807";"2.769,74";"19/07/2023";"219659";"2";
